id,parent_type,parent_id,filename,file_type,gps_lat,gps_lon,timestamp,uploader_id,checksum,description
EVID-0001,inspection,INSP-1001,culvert_block_20260801.jpg,image,-33.000321,25.699737,2026-08-01T09:18:00Z,USER-INS-01,sha256:c89982d8497e6ca24bd2c329c3454d7493b24ad75096ae78fe9048f7d7c38f01,Upstream inlet
EVID-0002,inspection,INSP-1002,r72_bridge_west_deck.jpg,image,-33.869523,25.609882,2026-08-28T14:53:00Z,USER-INS-01,sha256:15f0f5d79835bfda5ec114f0ee4b81b81df4a09f2a90ffc9d8fbe494ee6bc8e7,Close-up of defect
EVID-0003,inspection,INSP-1003,washout_lane_closure.jpg,image,-33.420454,25.448311,2026-07-08T21:12:00Z,USER-CTR-01,sha256:50d3ba679d0b0fec9020b4735eeb47a80f777cdc083d4c9ef3497c24f2f912e7,Temporary works in place
EVID-0004,inspection,INSP-1004,swartkops_silt_cell.jpg,image,-33.803935,25.588928,2026-06-13T09:35:00Z,USER-CTR-01,sha256:c1b3b4862dd553ba7ec13cb4975599f34a139a1f778f406d64da6c6b4cfab878,Close-up of defect
EVID-0005,inspection,INSP-1005,n2_gqeberha_shoulder.jpg,image,-33.014716,27.905952,2026-07-12T18:47:00Z,USER-CTR-01,sha256:6f4cabc76b14b4faff170f4bedcba20b77c99a64a510404d6a73daeac7261c45,Safety barrier condition
EVID-0006,inspection,INSP-1006,sundays_river_joint.jpg,image,-33.025458,27.874875,2026-08-19T23:18:00Z,USER-INS-01,sha256:dc945807ef691ffb69b48773e545ebf82de4ea4839de894eaebdce53cf2cf11e,Close-up of defect
EVID-0007,inspection,INSP-1007,motherwell_inlet.jpg,image,-33.310623,26.53159,2026-07-13T17:25:00Z,USER-INS-01,sha256:01963f44da029069b6350f2f618dc44393f494b7b4b096c4a393a393dbeef930,Safety barrier condition
EVID-0008,inspection,INSP-1008,buffalo_overpass_bearing.jpg,image,-31.589958,28.785059,2026-06-14T04:07:00Z,USER-INS-01,sha256:0e47f892ed3f5bcbab19be3330a052177258fa48e6a762088c8da9af9712b8ad,Context photo of asset face
EVID-0009,inspection,INSP-1009,harbour_road_ponding.jpg,image,-31.521675,28.8687,2026-06-29T16:59:00Z,USER-CTR-01,sha256:a39ec5c2130bc2585c87b98fba83106ab76ed0013f523f2907c37fa51af056ab,Context photo of asset face
EVID-0010,inspection,INSP-1010,makhanda_guardrail.jpg,image,-32.999018,25.700981,2026-07-16T13:50:00Z,USER-INS-01,sha256:7d567320722b82b940e2b3262e38ea1b9d44f3977488d9ff479564d791726f77,Temporary works in place
EVID-0011,inspection,INSP-1011,mthatha_ring_debris.jpg,image,-34.049721,24.920799,2026-07-03T16:53:00Z,USER-INS-01,sha256:bfc8ca8b80c9b3953f593ba5c5a296f10e3e8e55f0b423310fc1ffe23ad54a61,Downstream outlet
EVID-0012,inspection,INSP-1012,qumbu_mitre_drain.jpg,image,-33.544412,25.690928,2026-06-09T21:07:00Z,USER-INS-01,sha256:e57d1d731ae222a6a0186c56b2ef3aa773b1b088c021a5c1ab885b3579359450,Upstream inlet
EVID-0013,inspection,INSP-1013,humansdorp_crossing.jpg,image,-32.958125,27.760586,2026-06-12T21:24:00Z,USER-INS-01,sha256:2f38302af265acae8c77fef8ac5d260862cba0a68e0c64341adb526c55a71f1e,Temporary works in place
EVID-0014,inspection,INSP-1014,jeffreys_sand_inlet.jpg,image,-33.000406,25.699985,2026-08-11T20:51:00Z,USER-INS-01,sha256:6393b3a252fa5c730ec24addc45f4416df010dc082f986800f847c2cb57b90db,Context photo of asset face
EVID-0015,inspection,INSP-1015,addo_livestock_grid.jpg,image,-31.628433,28.972,2026-07-22T12:08:00Z,USER-INS-01,sha256:6c13e0df733ae2fccd30c2e35e75acc0305773aa46131a6ea98bb578deaa3596,Downstream outlet
EVID-0016,inspection,INSP-1016,mdantsane_open_channel.jpg,image,-33.440709,25.971171,2026-07-07T16:49:00Z,USER-CTR-01,sha256:ad0d88ff082fcdbb7065b8800327af231545d62de4cc90a4d44687c9a540d459,Context photo of asset face
